date,channelGrouping,users,newUsers,percentNewSessions,sessions,bounces,bounceRate,sessionDuration,avgSessionDuration,pageviews,pageviewsPerSession
20180101,(Other),17,1,5.263157895,19,6,31.57894737,4758,250.4210526,102,5.368421053
20180101,Direct,88808,31403,31.54717057,99543,23216,23.32258421,1.30E+07,130.9211396,653231,6.56229971
20180101,Organic Search,18204,8471,40.76319715,20781,4853,23.35306289,3249739,156.3802993,120765,5.811318031
20180101,Referral,60218,13833,19.58849019,70618,15661,22.17706534,1.10E+07,155.6621258,514001,7.278611685
20180101,Social,42833,14501,30.85647409,46995,10242,21.79380785,5907143,125.6972657,254013,5.405106926
20180102,(Other),15,0,0,17,4,23.52941176,2172,127.7647059,89,5.235294118
20180102,Direct,97997,30798,28.22966507,109098,26374,24.17459532,1.41E+07,129.4944637,713380,6.538891639
20180102,Organic Search,20138,9427,40.83427185,23086,6759,29.27748419,3251001,140.8213203,115972,5.023477432
20180102,Referral,71111,16663,19.69388961,84610,20871,24.66729701,1.21E+07,142.6381397,587813,6.947323011
20180102,Social,35520,10720,27.8080415,38550,11417,29.61608301,4441309,115.2090532,196113,5.087237354
20180103,(Other),11,0,0,13,4,30.76923077,2836,218.1538462,86,6.615384615
20180103,Direct,96905,32940,31.62685306,104152,34696,33.31285045,1.30E+07,124.4999136,590996,5.67436055
20180103,Organic Search,20488,10423,45.11144774,23105,7459,32.28305562,3382480,146.3960182,114378,4.950357066
20180103,Paid Search,15,13,81.25,16,2,12.5,1139,71.1875,64,4
20180103,Referral,64653,15111,20.09227742,75208,26206,34.84469737,1.06E+07,140.6925593,445468,5.923146474
20180103,Social,44082,13687,27.83438066,49173,17520,35.62930877,5307544,107.9361438,226673,4.609704513
20180104,(Other),7,0,0,9,2,22.22222222,1342,149.1111111,47,5.222222222
20180104,Direct,74311,24221,29.64590397,81701,21947,26.8625843,1.18E+07,143.8620825,535882,6.559062925
20180104,Organic Search,20159,10863,47.35190271,22941,6092,26.55507606,3721996,162.2420993,125821,5.484547317
20180104,Paid Search,34,33,97.05882353,34,8,23.52941176,5284,155.4117647,140,4.117647059
20180104,Referral,53254,12416,19.85860977,62522,16094,25.74133905,1.06E+07,169.8909184,467705,7.480646812
20180104,Social,38527,9706,22.21866129,43684,11403,26.10337881,5936930,135.9062815,222968,5.104111345
20180105,(Other),15,0,0,16,3,18.75,2564,160.25,113,7.0625
20180105,Direct,78592,22792,25.35233201,89901,21066,23.43244235,1.38E+07,153.2178063,575595,6.402542797
20180105,Organic Search,20160,9690,40.91369701,23684,6649,28.0738051,3755060,158.5483871,122357,5.166230366
20180105,Paid Search,17,14,77.77777778,18,5,27.77777778,2633,146.2777778,99,5.5
20180105,Referral,56337,11362,16.50254176,68850,16485,23.94335512,1.22E+07,176.98626,475190,6.901815541
20180105,Social,41514,9556,20.1871686,47337,12836,27.11620931,6259795,132.2389463,238429,5.036842216
20180106,(Other),13,0,0,16,1,6.25,3525,220.3125,148,9.25
20180106,Direct,85128,26803,28.20982392,95013,22676,23.86620778,1.37E+07,144.3479419,608992,6.409565007
20180106,Organic Search,20364,9987,42.83324756,23316,5812,24.92708869,3654109,156.7210928,126528,5.426659804
20180106,Paid Search,78,75,92.59259259,81,23,28.39506173,8741,107.9135802,414,5.111111111
20180106,Referral,47967,9577,16.71203713,57306,13791,24.06554288,9433864,164.6226224,377042,6.579450668
20180106,Social,41936,9927,21.22650587,46767,10646,22.76391473,5896602,126.0846751,236314,5.053007463
20180107,(Other),6,0,0,6,2,33.33333333,1268,211.3333333,91,15.16666667
20180107,Direct,68026,24717,33.43659533,73922,18077,24.45415438,1.21E+07,163.1393766,424655,5.744636238
20180107,Organic Search,19990,10739,47.61461382,22554,5249,23.27303361,3900540,172.9422719,125991,5.586193136
20180107,Paid Search,71,61,77.21518987,79,23,29.11392405,12561,159,520,6.582278481
20180107,Referral,39897,8210,18.09525909,45371,9896,21.81128915,9237567,203.6006921,307078,6.76815587
20180107,Social,58736,16009,24.03898132,66596,13523,20.30602439,9557609,143.5162622,321811,4.832287224
20180108,(Other),8,0,0,8,2,25,2879,359.875,58,7.25
20180108,Direct,71462,31591,40.88179724,77274,20302,26.27274374,1.13E+07,146.2411678,449072,5.811424282
20180108,Organic Search,20604,11973,51.65674346,23178,5662,24.42833722,3766887,162.5199327,120734,5.208991285
20180108,Paid Search,44,40,85.10638298,47,20,42.55319149,9095,193.5106383,269,5.723404255
20180108,Referral,40286,11114,23.94897322,46407,11117,23.95543776,8327962,179.4548667,327606,7.059409141
20180108,Social,66259,19368,25.77588501,75140,14797,19.69257386,1.09E+07,145.256774,393108,5.231674208
20180109,(Other),6,0,0,8,3,37.5,812,101.5,34,4.25
20180109,Direct,157089,72156,40.31872332,178964,50666,28.31072171,2.51E+07,140.0471436,967593,5.406634854
20180109,Organic Search,29341,14371,41.2248996,34860,8603,24.67871486,5856552,168.0020654,182514,5.235628227
20180109,Paid Search,40,38,95,40,20,50,2005,50.125,119,2.975
20180109,Referral,129036,55589,36.05344229,154185,39922,25.89227227,2.50E+07,162.214301,945266,6.130726076
20180109,Social,91907,25970,23.95248241,108423,28369,26.16511257,1.50E+07,138.009878,475125,4.382142165
20180110,(Other),9,1,8.333333333,12,3,25,1533,127.75,64,5.333333333
20180110,Direct,168905,89970,47.75604448,188395,58249,30.91854879,2.30E+07,122.2223785,1110955,5.896945248
20180110,Organic Search,28651,14338,42.85244628,33459,8451,25.25777818,5274702,157.6467318,186813,5.583340805
20180110,Paid Search,5,3,60,5,2,40,139,27.8,12,2.4
20180110,Referral,156138,81367,44.76937721,181747,51900,28.55617974,2.60E+07,142.9886381,1207412,6.643366878
20180110,Social,62708,18683,26.23906296,71203,18419,25.86829207,9635189,135.3199865,340688,4.784742216
20180111,(Other),10,1,9.090909091,11,3,27.27272727,1570,142.7272727,49,4.454545455
20180111,Direct,157083,67552,38.77841561,174200,41246,23.67738232,2.37E+07,135.7665786,1098747,6.30738806
20180111,Organic Search,31656,16265,44.80222565,36304,8509,23.43818863,5772102,158.9935544,198513,5.468075143
20180111,Paid Search,13,11,84.61538462,13,3,23.07692308,539,41.46153846,39,3
20180111,Referral,153675,65221,36.50667488,178655,38781,21.70720103,2.82E+07,158.1052419,1248607,6.988928382
20180111,Social,60507,16192,23.95266272,67600,16115,23.8387574,9269677,137.1253994,322753,4.774452663
20180112,(Other),15,0,0,15,5,33.33333333,2102,140.1333333,120,8
20180112,Direct,166571,78944,42.5909341,185354,46320,24.9900191,2.43E+07,131.0708914,1223332,6.599976262
20180112,Organic Search,36337,19573,47.09349887,41562,9355,22.50854146,6508240,156.5911169,249532,6.00384967
20180112,Paid Search,21,20,90.90909091,22,8,36.36363636,1566,71.18181818,74,3.363636364
20180112,Referral,157853,70588,38.59756564,182882,42898,23.45665511,2.78E+07,151.9454785,1331932,7.28301309
